bike_name,Price,Rating,Engine,Mileage,Max_Power,Fuel_Capacity,Top_Speed,Tyre_Type,Kerb_Weight,Max_Torque
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
Honda Unicorn,112892,4.6,162 CC,50 Kmpl,13.18 PS,13 Liters,106 kmph,Tubeless,139 Kg,14.8 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
TVS Apache RTR 310,222740,4.2,312 CC,35 Kmpl,35.6 PS,11 Liters,150 kmph,Tubeless,169 Kg,28.7 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Triumph Speed 400,239000,4.5,398 CC,30 Kmpl,40 PS,13 Liters,145 kmph,Tubeless,179 Kg,37.5 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
